OID,OBJECTID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POP2000,POP00_SQMI,HSE_UNITS_,VACANT_00,OWNER_OCC_,RENTER_OCC,POP_2010,POP10_SQMI,POP_CHANGE,REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_64,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85_89,AGE_90_UP,AGE_UNDER1,AGE_18_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,WHITE,BLACK,AMERI_ES,ASIAN,HAW_PI,OTHER,HISPANIC,HSE_UNITS,VACANT,OCCUPIED,OWNER_OCC,RENTER_O_1,Shape_Leng,Shape_Area,HSE_UNITS1,VACANT_CHA,OWN_OCC_CH,RENT_OCC_C
20,21,Rhode Island,44,New England,RI,1048319,692,439837,31413,245156,163268,1052567,698.5999756,4248,1,1,44,01219835,44,RI,Rhode Island,00,G4000,A,2677566454,1323668539,+41.5978358,-071.5252895,508400,544167,57448,60440,63824,80046,82167,65799,61163,63730,73130,81300,81050,70634,59955,42802,31077,26645,24607,17353,9397,223956,676730,151881,39.4,37.8,40.8,856869,60189,6058,30457,554,63653,130655,463388,49788,413600,250952,162648,8.939167251,0.304371581,23551,18375,5796,-620
21,22,Nevada,32,Mountain,NV,1998257,18.1,827457,76292,457247,293918,2700551,24.89999962,702294,4,8,32,01779793,32,NV,Nevada,00,G4000,A,2.84332E+11,2047761678,+39.3310928,-116.6151469,1363616,1336935,187478,183077,183173,182600,177509,196644,190642,191652,191391,193790,182737,164575,150924,115501,82280,57503,38888,21058,9129,665008,1711184,324359,36.3,35.8,36.9,1786688,218626,32062,195436,16871,324793,716501,1173814,167564,1006250,591480,414770,23.86016802,29.93749846,346357,91272,134233,120852
22,23,Puerto Rico,72,South Atlantic,PR,-99,-99,-99,-99,-99,-99,3725789,-99,3725888,9,0,72,01779808,72,PR,Puerto Rico,00,G4000,A,8867536532,4923745357,+18.2176480,-066.4107992,1785171,1940618,224756,240004,268571,284259,260850,244159,248173,241270,242258,247986,239821,223607,218077,175411,136251,100740,67000,39942,22654,903295,2280496,541998,36.9,35.1,38.6,2825100,461498,19839,6831,370,289905,3688455,1636946,260415,1376531,986165,390366,12.0003375,0.76236033,1637045,260514,986264,390465
23,24,Colorado,08,Mountain,CO,4301261,41.3,1808037,149799,1116137,542101,5029196,49.09999847,727935,4,8,08,01779779,08,CO,Colorado,00,G4000,A,2.68431E+11,1170101258,+38.9935752,-105.5077737,2520662,2508534,343960,348603,332654,339475,348615,372459,353819,353605,346039,371635,371063,328364,269280,182492,127468,96908,73144,45997,23616,1225609,3253962,549625,36.1,35.1,37.1,4089202,201737,56010,139028,6623,364140,1038687,2212898,240030,1972868,1293100,679768,22.02159609,28.03945423,404861,90231,176963,137667
24,25,Alaska,02,Pacific,AK,626932,0.9,260978,39378,138509,83091,710231,1,83299,4,9,02,01785533,02,AK,Alaska,00,G4000,A,1.47795E+12,2.45383E+11,+63.3461910,-152.8370679,369628,340603,53996,50887,50816,52141,54419,55419,47706,45833,47141,54726,56300,49971,35938,22202,13148,8892,5985,3273,1438,187378,467915,54938,33.8,33.6,34.1,473576,23263,104871,38135,7409,11102,39249,306967,48909,258058,162765,95293,846.3142845,279.509014,45989,9531,24256,12202
25,26,Alabama,01,East South Central,AL,4447100,84.8,1963711,226631,1258705,478375,4779736,90.30000305,332636,3,6,01,01779775,01,AL,Alabama,00,G4000,A,1.31171E+11,4596557532,+32.7396323,-086.8434593,2320188,2459548,304957,308229,319655,343471,335322,311034,297888,308430,311071,346369,347485,311906,276127,209637,160864,122836,88771,50744,24940,1132459,2989485,657792,37.9,36.4,39.1,3275394,1251311,28218,53595,3057,96910,185602,2171853,288062,1883791,1312589,571202,22.5947655,12.88005798,208142,61431,53884,92827
26,27,Arkansas,05,West South Central,AR,2673400,50.3,1173043,130347,723535,319161,2915918,55,242518,3,7,05,00068085,05,AR,Arkansas,00,G4000,A,1.34771E+11,2960539257,+34.8955256,-092.4446262,1431637,1484281,197689,196877,197559,203805,199650,192153,183739,183614,182594,205544,201722,183960,167031,133367,101235,77741,56236,33732,17670,711475,1784462,419981,37.4,36.1,38.7,2245229,449895,22248,36102,5863,99571,186050,1316299,169215,1147084,768156,378928,22.04883044,13.58556569,143256,38868,44621,59767
27,28,Vermont,50,New England,VT,608827,63.3,294382,53748,169784,70850,625741,65.09999847,16914,1,1,50,01779802,50,VT,Vermont,00,G4000,A,23871030489,1035236182,+44.0605475,-072.6733540,308206,317535,31952,34654,37637,46012,43851,35441,34181,36358,42001,50110,52493,48739,41234,29390,20148,15960,12783,8208,4589,129233,405430,91078,41.5,40.4,42.7,596292,6277,2207,7947,160,2105,9208,322539,66097,256442,181407,75035,9.768696993,2.797791341,28157,12349,11623,4185
28,29,Illinois,17,East North Central,IL,12419293,214.4,4885615,293836,3088884,1502895,12830632,226,411339,2,3,17,01779784,17,IL,Illinois,00,G4000,A,1.43793E+11,6202038080,+40.1028754,-089.1526108,6292276,6538356,835577,859405,879448,922092,878964,910273,865684,855790,870100,940094,930785,807778,665429,485060,364475,289385,235381,152788,82124,3129179,8092240,1609213,36.6,35.2,37.9,9177877,1866414,43963,586934,4050,861412,2027578,5296715,459743,4836972,3263639,1573333,21.7659974,15.40890105,411100,165907,174755,70438
29,30,Georgia,13,South Atlantic,GA,8186453,137.7,3281737,275368,2029154,977215,9687653,168.5,1501200,3,5,13,01705317,13,GA,Georgia,00,G4000,A,1.48959E+11,4951196915,+32.6293840,-083.4232125,4729171,4958482,686785,695161,689684,709999,680080,673935,661625,698059,699481,722661,668591,573551,496006,356007,250422,182735,129048,75403,38420,2491552,6164066,1032035,35.3,34.1,36.5,5787440,2950435,32151,314467,6799,388872,853689,4088801,503217,3585584,2354402,1231182,30.59004547,14.64283972,807064,227849,325248,253967
